transect_id,chainage_m,n_observations,n_expected_years,temporal_completeness_pct,first_year,last_year,first_position_m,last_position_m,nsm_m,epr_m_per_year,lrr_m_per_year,lrr_r2,lrr_reference_year,lrr_position_at_reference_m,lrr_standard_error_m_per_year,lrr_ci95_low_m_per_year,lrr_ci95_high_m_per_year,uncertainty_method,analysis_status,sign_convention
T001,0.0,1,11,9.090909090909092,2017,2017,-80.34842045118626,-80.34842045118626,,,,,,,,,,not_available,insufficient_observations,"positivo=hacia el lado left de la línea base; si ese lado es tierra, positivo=retroceso y negativo=acreción"
T002,50.0,8,11,72.72727272727273,2016,2026,4.551639988507229,-21.85631301811368,-26.40795300662091,-2.640795300662091,-1.7824314311994867,0.038349655104360725,2021.125,-38.20467829354946,3.643888431382266,-10.699026422791892,7.134163560392918,student_t_95,ok,"positivo=hacia el lado left de la línea base; si ese lado es tierra, positivo=retroceso y negativo=acreción"
T003,100.0,8,11,72.72727272727273,2016,2026,-7.885548554173921,-24.496963198383668,-16.611414644209745,-1.6611414644209745,-1.6798365496222587,0.03467674194533554,2021.125,-41.2738406614156,3.6183339148491385,-10.5338996392581,7.174226540013583,student_t_95,ok,"positivo=hacia el lado left de la línea base; si ese lado es tierra, positivo=retroceso y negativo=acreción"
T004,150.0,8,11,72.72727272727273,2016,2026,-2.8996139494502526,-31.712821554121202,-28.81320760467095,-2.881320760467095,-2.7928347710055452,0.08662045914758343,2021.125,-41.45143454563838,3.702414316814577,-11.852642604250814,6.266973062239725,student_t_95,ok,"positivo=hacia el lado left de la línea base; si ese lado es tierra, positivo=retroceso y negativo=acreción"
T005,200.0,8,11,72.72727272727273,2016,2026,0.9144428381001117,-34.01463548305236,-34.929078321152474,-3.4929078321152476,-3.5580352770038752,0.13942120229932153,2021.125,-38.74459968463836,3.608822599227917,-12.38882417731459,5.272753623306838,student_t_95,ok,"positivo=hacia el lado left de la línea base; si ese lado es tierra, positivo=retroceso y negativo=acreción"
T006,250.0,9,11,81.81818181818181,2016,2026,8.041806786471952,-29.850025631467155,-37.891832417939106,-3.7891832417939106,-1.903453109000391,0.0452317413645994,2020.6666666666667,-39.011807215049025,3.305373149250527,-9.720660606977889,5.9137543889771065,student_t_95,ok,"positivo=hacia el lado left de la línea base; si ese lado es tierra, positivo=retroceso y negativo=acreción"
T007,300.0,9,11,81.81818181818181,2016,2026,10.976017776337969,-27.001858135003943,-37.97787591134191,-3.797787591134191,-2.9771425858967104,0.15725266072407484,2020.6666666666667,-35.019403228804705,2.6049555006107457,-9.137862344841125,3.183577173047704,student_t_95,ok,"positivo=hacia el lado left de la línea base; si ese lado es tierra, positivo=retroceso y negativo=acreción"
T008,350.0,9,11,81.81818181818181,2016,2026,4.664771234202114,-33.008258732403156,-37.67302996660527,-3.767302996660527,-2.9708966782314405,0.17798324883078098,2020.6666666666667,-37.39923983744119,2.4131776650033006,-8.678061855964247,2.7362684995013655,student_t_95,ok,"positivo=hacia el lado left de la línea base; si ese lado es tierra, positivo=retroceso y negativo=acreción"
T009,400.0,9,11,81.81818181818181,2016,2026,0.34075702686835063,-33.33258170610951,-33.67333873297786,-3.367333873297786,-1.3912018591297157,0.02437203912488073,2020.3333333333333,-36.78491276261062,3.326881371432897,-9.259276302568518,6.476872584309087,student_t_95,ok,"positivo=hacia el lado left de la línea base; si ese lado es tierra, positivo=retroceso y negativo=acreción"
T010,450.0,8,11,72.72727272727273,2016,2026,-3.3125716309791957,-26.886317288100404,-23.573745657121208,-2.357374565712121,0.04179648819774485,2.7528885771621603e-05,2020.125,-25.213063446915637,3.2520998643207757,-7.916091879795193,7.999684856190683,student_t_95,ok,"positivo=hacia el lado left de la línea base; si ese lado es tierra, positivo=retroceso y negativo=acreción"
